from,to,weight
Schumacher,Alesi,3
Berger,Verstappen,6
Barrichello,Morbidelli,1
Blundell,Fittipaldi,4
Hakkinen,Frentzen,10
Brundle,Fittipaldi,5
Brundle,Blundell,3
Lamy,Panis,1
Wendlinger,Martini,2
Barrichello,Martini,1
Katayama,Herbert,3
Katayama,Comas,5
Herbert,Comas,1
Brundle,Martini,1
Lamy,Comas,1
Comas,Lamy,1
Bernard,Brabham,4
Comas,Martini,2
Martini,Comas,1
Katayama,Wendlinger,1
Frentzen,Hill,3
Verstappen,Hill,2
Hill,Verstappen,3
Hill,Frentzen,4
Wendlinger,Suzuki,1
Hill,Fittipaldi,1
Hill,Brundle,4
Hill,Barrichello,4
Comas,Ratzenberger,2
Katayama,Bernard,4
Hill,Morbidelli,1
Comas,Herbert,2
Panis,Bernard,2
De Cesaris,Comas,2
Alboreto,Katayama,1
De Cesaris,Katayama,1
Lehto,Brabham,1
Lehto,Bernard,1
Comas,Brabham,2
Brundle,Berger,2
Beretta,Herbert,1
Frentzen,Morbidelli,2
Katayama,Morbidelli,3
Katayama,Frentzen,4
Fittipaldi,Panis,1
Fittipaldi,Herbert,2
Bernard,Gachot,1
Coulthard,Panis,8
Coulthard,Herbert,5
Brundle,Alesi,1
Bernard,Zanardi,1
Alesi,Irvine,6
Lehto,Zanardi,1
Comas,Zanardi,1
Comas,Lehto,1
Comas,Alboreto,3
Lehto,Alboreto,1
Hill,Berger,3
Barrichello,Coulthard,14
Morbidelli,Irvine,2
Blundell,Martini,4
Zanardi,Brabham,1
Hakkinen,Beretta,1
Blundell,Beretta,1
Morbidelli,Coulthard,1
Comas,Panis,1
Lehto,Martini,1
Katayama,Panis,4
Lehto,Beretta,1
Hakkinen,Barrichello,7
Katayama,Alboreto,3
Blundell,Herbert,4
Beretta,Katayama,1
Katayama,Beretta,1
Lehto,Barrichello,2
Barrichello,Lehto,1
Barrichello,Hakkinen,8
Barrichello,Frentzen,13
Barrichello,Irvine,6
Verstappen,Gounon,1
Verstappen,Brabham,1
Morbidelli,Bernard,2
Herbert,Fittipaldi,2
Katayama,Fittipaldi,2
Martini,Fittipaldi,1
De Cesaris,Fittipaldi,1
Martini,De Cesaris,1
Blundell,De Cesaris,2
Coulthard,Comas,1
Coulthard,Brabham,1
Coulthard,Beretta,1
Coulthard,Bernard,1
Beretta,Bernard,1
Zanardi,Gounon,1
Coulthard,Alboreto,1
Coulthard,Fittipaldi,1
Beretta,Brabham,1
Coulthard,De Cesaris,1
Herbert,De Cesaris,2
Zanardi,Bernard,1
Coulthard,Martini,1
Fittipaldi,Alboreto,2
Panis,Frentzen,8
Blundell,Frentzen,2
Coulthard,Frentzen,8
Blundell,Panis,4
Bernard,Beretta,2
Hakkinen,Verstappen,4
Bernard,Gounon,2
Schumacher,Berger,5
Coulthard,Katayama,1
Coulthard,Hakkinen,4
Panis,Beretta,1
Bernard,Verstappen,1
Brundle,Brabham,1
Brundle,Beretta,2
Brundle,Comas,2
Brundle,Morbidelli,1
Schumacher,Panis,4
Schumacher,Bernard,1
Hill,Gounon,1
Hill,Brabham,1
Herbert,Bernard,1
Alesi,Panis,5
Comas,De Cesaris,1
Frentzen,Irvine,8
Berger,Brundle,4
Brabham,Alliot,1
Fittipaldi,Gounon,1
Herbert,Gounon,1
Herbert,Adams,1
Coulthard,Barrichello,15
Panis,De Cesaris,1
Fittipaldi,Brabham,1
Fittipaldi,Alliot,1
Herbert,Alliot,1
Berger,Irvine,8
Panis,Morbidelli,3
Herbert,Brabham,2
Frentzen,Verstappen,10
Panis,Martini,3
Katayama,De Cesaris,1
Katayama,Martini,5
Brundle,Irvine,3
Alboreto,Bernard,1
Alliot,Brabham,1
Verstappen,Hakkinen,2
Morbidelli,Katayama,3
Hakkinen,Coulthard,3
Irvine,Gounon,1
Herbert,Dalmas,1
Irvine,Brabham,1
Katayama,Hakkinen,2
Barrichello,De Cesaris,1
Irvine,Dalmas,1
Blundell,Lehto,1
Blundell,Brundle,2
Lehto,Brundle,1
Herbert,Alboreto,1
Lehto,De Cesaris,1
Blundell,Gounon,1
Brundle,De Cesaris,1
Blundell,Brabham,1
Katayama,Irvine,1
Blundell,Dalmas,1
Blundell,Alboreto,1
Bernard,Alboreto,2
Blundell,Barrichello,3
Panis,Brabham,1
Katayama,Barrichello,1
Bernard,Comas,1
Morbidelli,De Cesaris,1
Bernard,De Cesaris,2
Gounon,Martini,1
Bernard,Morbidelli,1
Katayama,Adams,1
Brabham,Dalmas,1
Katayama,Gounon,1
Dalmas,Brabham,1
Katayama,Dalmas,1
Panis,Blundell,1
Hill,Coulthard,2
Verstappen,Fittipaldi,1
Bernard,Herbert,1
Martini,Dalmas,1
Martini,Alboreto,1
Irvine,Panis,8
Lehto,Panis,1
Irvine,Fittipaldi,1
Mansell,Berger,1
Mansell,Barrichello,3
Katayama,Schiattarella,1
Katayama,Brabham,1
Barrichello,Mansell,2
Katayama,Zanardi,1
Mansell,Zanardi,1
Mansell,Martini,1
Mansell,Alboreto,1
Mansell,Comas,1
Panis,Alesi,4
Mansell,De Cesaris,1
Barrichello,Blundell,1
Salo,Lagorce,3
Salo,Comas,1
Comas,Lagorce,1
Zanardi,Katayama,1
Brabham,Noda,1
Fittipaldi,Martini,1
Morbidelli,Martini,1
Fittipaldi,Lehto,1
Berger,Frentzen,5
Mansell,Hakkinen,1
Hakkinen,Mansell,1
Blundell,Salo,2
Alesi,Hakkinen,2
Alesi,Barrichello,5
Salo,Lehto,1
Alesi,Frentzen,7
Salo,Katayama,3
Gachot,Moreno,2
Suzuki,Barrichello,1
Morbidelli,Barrichello,1
Morbidelli,Blundell,2
Suzuki,Frentzen,1
Gachot,Montermini,1
Schiattarella,Diniz,1
Badoer,Inoue,2
Schiattarella,Moreno,2
Moreno,Schiattarella,1
Gachot,Inoue,1
Alesi,Wendlinger,1
Hill,Hakkinen,3
Herbert,Morbidelli,1
Herbert,Blundell,1
Salo,Alesi,4
Hakkinen,Alesi,3
Morbidelli,Salo,5
Morbidelli,Schiattarella,2
Barrichello,Inoue,1
Panis,Schiattarella,1
Barrichello,Moreno,1
Inoue,Moreno,2
Herbert,Katayama,1
Alesi,Salo,4
Blundell,Katayama,1
Berger,Suzuki,2
Verstappen,Katayama,4
Berger,Katayama,5
Suzuki,Schiattarella,2
Suzuki,Moreno,1
Hill,Schumacher,4
Inoue,Diniz,2
Coulthard,Schumacher,3
Herbert,Frentzen,6
Moreno,Diniz,5
Barrichello,Katayama,1
Salo,Morbidelli,2
Berger,Martini,1
Panis,Katayama,3
Diniz,Moreno,3
Katayama,Salo,4
Verstappen,Salo,2
Verstappen,Herbert,2
Mansell,Herbert,1
Martini,Suzuki,1
Moreno,Montermini,1
Moreno,Inoue,1
Diniz,Montermini,2
Diniz,Inoue,1
Schiattarella,Suzuki,1
Montermini,Diniz,4
Verstappen,Frentzen,6
Montermini,Moreno,2
Wendlinger,Inoue,2
Panis,Gachot,1
Badoer,Moreno,2
Badoer,Diniz,4
Morbidelli,Inoue,2
Wendlinger,Diniz,2
Salo,Barrichello,2
Wendlinger,Moreno,2
Morbidelli,Diniz,2
Morbidelli,Moreno,2
Herbert,Suzuki,1
Herbert,Schiattarella,1
Suzuki,Gachot,1
Irvine,Frentzen,7
Hakkinen,Irvine,7
Panis,Mansell,1
Mansell,Panis,1
Inoue,Badoer,1
Coulthard,Irvine,5
Mansell,Katayama,1
Inoue,Martini,1
Morbidelli,Wendlinger,1
Brundle,Verstappen,2
Katayama,Inoue,1
Herbert,Hakkinen,1
Brundle,Salo,1
Morbidelli,Verstappen,2
Salo,Montermini,1
Salo,Gachot,1
Salo,Moreno,1
Montermini,Gachot,1
Barrichello,Salo,8
Panis,Salo,12
Alesi,Berger,3
Martini,Katayama,1
Gachot,Diniz,1
Alesi,Hill,6
Salo,Inoue,2
Berger,Hill,4
Martini,Moreno,1
Martini,Gachot,1
Badoer,Salo,1
Boullion,Badoer,4
Boullion,Salo,1
Berger,Morbidelli,2
Berger,Badoer,2
Badoer,Gachot,1
Boullion,Martini,1
Salo,Martini,1
Panis,Boullion,1
Salo,Badoer,3
Suzuki,Katayama,2
Alesi,Herbert,7
Boullion,Katayama,1
Panis,Herbert,6
Alesi,Blundell,1
Suzuki,Badoer,1
Berger,Boullion,1
Blundell,Irvine,1
Herbert,Irvine,6
Berger,Herbert,3
Boullion,Irvine,1
Boullion,Diniz,2
Schumacher,Coulthard,8
Boullion,Papis,2
Schumacher,Frentzen,2
Schumacher,Barrichello,13
Schumacher,Brundle,2
Coulthard,Berger,1
Papis,Inoue,1
Katayama,Boullion,1
Schumacher,Irvine,3
Barrichello,Badoer,6
Schumacher,Hill,4
Katayama,Blundell,2
Barrichello,Lamy,2
Salo,Blundell,1
Frentzen,Herbert,6
Barrichello,Herbert,10
Frentzen,Blundell,2
Irvine,Brundle,1
Badoer,Papis,1
Salo,Diniz,8
Salo,Boullion,1
Hakkinen,Herbert,2
Salo,Lavaggi,1
Inoue,Lavaggi,1
Boullion,Lavaggi,1
Salo,Papis,2
Frentzen,Brundle,3
Irvine,Berger,5
Blundell,Berger,1
Boullion,Inoue,1
Frentzen,Boullion,1
Montermini,Deletraz,1
Montermini,Badoer,2
Badoer,Deletraz,1
Hakkinen,Blundell,1
Moreno,Deletraz,1
Montermini,Inoue,1
Frentzen,Barrichello,3
Frentzen,Hakkinen,4
Badoer,Hakkinen,2
Montermini,Hakkinen,1
Badoer,Blundell,1
Montermini,Blundell,1
Papis,Blundell,1
Montermini,Papis,1
Diniz,Blundell,1
Papis,Hakkinen,1
Deletraz,Blundell,1
Tarquini,Hakkinen,1
Diniz,Hakkinen,1
Salo,Panis,6
Blundell,Deletraz,1
Frentzen,Badoer,2
Papis,Montermini,1
Blundell,Diniz,1
Blundell,Hakkinen,1
Hakkinen,Diniz,3
Frentzen,Lamy,1
Brundle,Badoer,1
Deletraz,Diniz,1
Diniz,Deletraz,1
Lamy,Boullion,1
Badoer,Boullion,1
Berger,Coulthard,2
Hakkinen,Boullion,1
Hakkinen,Badoer,2
Herbert,Badoer,4
Herbert,Lamy,3
Tarquini,Deletraz,2
Panis,Suzuki,1
Morbidelli,Montermini,1
Barrichello,Magnussen,2
Magnussen,Barrichello,1
Magnussen,Lamy,1
Hill,Irvine,1
Berger,Alesi,3
Blundell,Inoue,1
Wendlinger,Gachot,1
Wendlinger,Montermini,1
Berger,Lamy,4
Alesi,Katayama,1
Alesi,Lamy,1
Alesi,Badoer,2
Panis,Wendlinger,1
Panis,Inoue,1
Panis,Montermini,1
Berger,Salo,7
Lamy,Inoue,1
Blundell,Lamy,1
Blundell,Badoer,1
Wendlinger,Lamy,1
Lamy,Katayama,2
Katayama,Fisichella,2
Coulthard,Lamy,2
Rosset,Lamy,2
Salo,Frentzen,2
Diniz,Fisichella,3
Villeneuve,Hill,2
Hill,Villeneuve,2
Verstappen,Brundle,3
Salo,Berger,2
Herbert,Montermini,1
Panis,Badoer,3
Diniz,Badoer,2
Hakkinen,Berger,1
Barrichello,Alesi,9
Katayama,Montermini,1
Hakkinen,Salo,5
Lamy,Montermini,1
Katayama,Badoer,1
Panis,Rosset,4
Badoer,Montermini,1
Panis,Irvine,7
Diniz,Lamy,1
Salo,Hakkinen,2
Katayama,Lamy,2
Barrichello,Schumacher,5
Lamy,Badoer,1
Villeneuve,Hakkinen,3
Villeneuve,Verstappen,8
Rosset,Montermini,1
Villeneuve,Barrichello,4
Marques,Panis,1
Rosset,Badoer,1
Villeneuve,Coulthard,8
Rosset,Salo,1
Katayama,Brundle,1
Herbert,Brundle,1
Marques,Rosset,1
Verstappen,Irvine,10
Panis,Lamy,3
Brundle,Marques,1
Alesi,Schumacher,1
Irvine,Coulthard,2
Verstappen,Panis,3
Verstappen,Coulthard,3
Alesi,Verstappen,2
Salo,Lamy,1
Hill,Herbert,4
Berger,Rosset,2
Herbert,Salo,1
Katayama,Rosset,2
Villeneuve,Panis,5
Panis,Brundle,1
Panis,Hakkinen,1
Hill,Alesi,3
Verstappen,Diniz,4
Schumacher,Villeneuve,8
Schumacher,Fisichella,7
Herbert,Panis,4
Schumacher,Diniz,1
Berger,Hakkinen,4
Brundle,Hakkinen,1
Panis,Verstappen,8
Panis,Schumacher,1
Brundle,Herbert,2
Irvine,Herbert,4
Salo,Rosset,1
Villeneuve,Alesi,8
Panis,Barrichello,2
Panis,Coulthard,2
Diniz,Katayama,1
Panis,Diniz,4
Rosset,Fisichella,1
Brundle,Frentzen,1
Panis,Fisichella,8
Herbert,Diniz,5
Irvine,Diniz,8
Coulthard,Brundle,1
Villeneuve,Schumacher,2
Brundle,Lamy,1
Brundle,Rosset,1
Lamy,Lavaggi,1
Alesi,Villeneuve,8
Hill,Lamy,1
Hill,Diniz,4
Rosset,Diniz,1
Hill,Katayama,3
Berger,Diniz,4
Hill,Salo,3
Lavaggi,Lamy,1
Hakkinen,Lamy,1
Irvine,Villeneuve,6
Hakkinen,Rosset,1
Diniz,Verstappen,2
Diniz,Herbert,1
Coulthard,Rosset,2
Coulthard,Salo,2
Villeneuve,Irvine,10
Villeneuve,Berger,1
Coulthard,Verstappen,5
Magnussen,Katayama,2
Barrichello,Fisichella,11
Katayama,Trulli,2
Katayama,Nakano,1
Irvine,Trulli,3
Diniz,Trulli,2
Larini,Trulli,3
Nakano,Trulli,4
Diniz,Irvine,2
Berger,M.Schumacher,1
Larini,Irvine,1
Larini,Diniz,1
Herbert,Verstappen,2
Herbert,Trulli,5
Coulthard,Trulli,18
Herbert,Nakano,4
Coulthard,Nakano,3
R.Schumacher,Nakano,3
R.Schumacher,Trulli,14
Fisichella,Larini,1
Fisichella,Trulli,5
Fisichella,Nakano,1
Hakkinen,Hill,2
Larini,Nakano,2
M.Schumacher,Hill,5
Fisichella,Coulthard,9
Fisichella,Hill,2
Irvine,Nakano,4
Nakano,Irvine,1
Coulthard,Hill,4
Fisichella,Frentzen,4
Barrichello,Larini,1
Barrichello,Nakano,3
R.Schumacher,Herbert,5
R.Schumacher,Hill,2
Herbert,Hill,3
Barrichello,Berger,1
Magnussen,Larini,1
Magnussen,Nakano,2
Barrichello,Trulli,34
Herbert,R.Schumacher,2
Berger,Trulli,1
Salo,Trulli,4
Magnussen,Trulli,4
Magnussen,Salo,2
Larini,Katayama,2
Trulli,Katayama,1
Nakano,Katayama,2
Larini,Salo,2
Alesi,Diniz,7
Larini,Barrichello,1
Fisichella,Panis,4
Fisichella,Irvine,7
Magnussen,Verstappen,2
Irvine,Alesi,2
Salo,Villeneuve,2
Berger,Villeneuve,1
Magnussen,Villeneuve,1
Verstappen,Villeneuve,5
R.Schumacher,Fisichella,10
Frentzen,Trulli,4
Frentzen,Nakano,2
Frentzen,Katayama,2
Villeneuve,Nakano,1
Irvine,Fisichella,4
Magnussen,Fisichella,1
R.Schumacher,Diniz,4
R.Schumacher,Katayama,2
R.Schumacher,Morbidelli,1
R.Schumacher,Barrichello,6
R.Schumacher,Verstappen,7
Irvine,Salo,4
Fisichella,Berger,1
Magnussen,Diniz,3
Coulthard,M.Schumacher,6
Morbidelli,Trulli,2
M.Schumacher,Hakkinen,8
Barrichello,Verstappen,7
Irvine,Verstappen,1
Herbert,Coulthard,2
Frentzen,Fisichella,7
Wurz,Barrichello,1
R.Schumacher,Frentzen,8
Panis,Nakano,3
Panis,Trulli,11
Verstappen,Barrichello,2
Herbert,Barrichello,5
Frentzen,Diniz,3
Panis,Hill,2
Frentzen,Wurz,2
Katayama,Fontana,1
Wurz,Fisichella,4
Villeneuve,R.Schumacher,2
R.Schumacher,Villeneuve,15
Fisichella,Wurz,5
Fontana,Salo,3
Fisichella,Alesi,5
Hill,Marques,1
Magnussen,Marques,1
Trulli,Marques,1
Fontana,Marques,1
Barrichello,Marques,1
Nakano,Fisichella,2
Nakano,Salo,1
Diniz,Magnussen,2
Katayama,Verstappen,2
Magnussen,Hill,1
Magnussen,Fontana,1
Hill,Fontana,1
Berger,Fisichella,1
Hill,M.Schumacher,1
Irvine,Marques,1
Villeneuve,M.Schumacher,2
Irvine,Katayama,1
Trulli,Alesi,2
R.Schumacher,Alesi,4
Magnussen,Irvine,1
Marques,Verstappen,1
M.Schumacher,Villeneuve,6
M.Schumacher,Alesi,5
Magnussen,Berger,1
Marques,Katayama,2
Marques,Salo,1
Coulthard,Diniz,2
Magnussen,Morbidelli,2
Marques,Irvine,1
Diniz,Frentzen,1
Verstappen,Marques,1
Villeneuve,Katayama,1
Alesi,Marques,1
Irvine,R.Schumacher,3
Diniz,Coulthard,1
Alesi,Fisichella,8
Alesi,Magnussen,2
Frentzen,Berger,1
Villeneuve,Diniz,1
Salo,Irvine,5
Diniz,Hill,1
Irvine,Hill,3
Salo,Hill,1
Frentzen,Coulthard,2
R.Schumacher,Marques,1
Morbidelli,Magnussen,1
Katayama,Marques,1
Hakkinen,Nakano,1
Hakkinen,Trulli,4
Diniz,Morbidelli,1
Salo,Verstappen,2
Irvine,Morbidelli,1
M.Schumacher,Frentzen,3
Diniz,Nakano,1
Magnussen,Herbert,1
Berger,Panis,1
Frentzen,Panis,4
Irvine,M.Schumacher,1
Irvine,Hakkinen,4
Nakano,Diniz,1
Panis,R.Schumacher,2
Nakano,Marques,1
Alesi,R.Schumacher,5
Fontana,Katayama,1
Fontana,Verstappen,1
Coulthard,Villeneuve,8
Hakkinen,Villeneuve,4
Tuero,Rosset,1
Wurz,Herbert,2
Tuero,Diniz,2
M.Schumacher,Irvine,5
Hill,Trulli,2
M.Schumacher,Fisichella,4
Magnussen,Tuero,2
Villeneuve,Herbert,3
Wurz,Frentzen,1
Villeneuve,Frentzen,4
Panis,Takagi,4
R.Schumacher,Rosset,1
Wurz,Irvine,1
Coulthard,Fisichella,12
Diniz,Tuero,2
Hill,Nakano,1
Hill,Rosset,1
Hill,Tuero,1
Alesi,Tuero,1
Alesi,Nakano,1
R.Schumacher,Magnussen,1
Frentzen,Takagi,1
Frentzen,Magnussen,1
Frentzen,Alesi,3
Frentzen,R.Schumacher,4
M.Schumacher,Wurz,3
M.Schumacher,Takagi,2
Barrichello,Villeneuve,8
Herbert,Rosset,2
Barrichello,Hill,2
Wurz,Nakano,2
Takagi,Rosset,3
Salo,Nakano,1
Fisichella,Barrichello,5
Trulli,Tuero,2
Takagi,Salo,3
Takagi,Diniz,2
Coulthard,Alesi,5
Coulthard,Wurz,5
Irvine,Wurz,3
Rosset,Verstappen,1
Takagi,Trulli,1
Rosset,Trulli,1
Frentzen,Villeneuve,3
R.Schumacher,Salo,1
Nakano,Tuero,3
Barrichello,Tuero,2
Verstappen,Trulli,2
Diniz,Salo,2
Trulli,Rosset,1
Verstappen,Rosset,1
Barrichello,Takagi,5
Barrichello,Rosset,1
Trulli,Takagi,1
Fisichella,M.Schumacher,1
Coulthard,R.Schumacher,4
Wurz,Rosset,1
M.Schumacher,Tuero,1
M.Schumacher,Nakano,1
M.Schumacher,Herbert,1
Wurz,Verstappen,3
M.Schumacher,Trulli,4
Villeneuve,Trulli,7
M.Schumacher,R.Schumacher,4
Wurz,Salo,2
Wurz,Trulli,2
Panis,Tuero,1
Alesi,Trulli,4
Salo,Takagi,1
Takagi,Tuero,2
Coulthard,Tuero,1
Trulli,Nakano,1
Fisichella,Diniz,1
Salo,Tuero,1
Hill,Fisichella,2
Hill,Wurz,1
Rosset,Tuero,1
Hill,R.Schumacher,1
R.Schumacher,Hakkinen,3
M.Schumacher,Panis,4
Verstappen,Takagi,1
Herbert,Tuero,1
Herbert,Takagi,1
Nakano,Takagi,1
Trulli,Villeneuve,5
Wurz,Zanardi,1
M.Schumacher,Zanardi,1
Barrichello,Panis,7
Barrichello,Zanardi,3
Panis,Zanardi,1
Barrichello,Gene,1
De La Rosa,Badoer,1
Takagi,Badoer,4
M.Schumacher,Badoer,1
Wurz,Badoer,1
Barrichello,Wurz,2
M.Schumacher,De La Rosa,1
Zanardi,Badoer,3
Barrichello,De La Rosa,7
Trulli,R.Schumacher,4
Trulli,Fisichella,5
Diniz,De La Rosa,2
Wurz,Takagi,2
Zonta,Takagi,3
Zonta,Panis,2
Zanardi,Gene,5
Barrichello,Diniz,2
Wurz,De La Rosa,2
Zonta,De La Rosa,4
Takagi,Panis,1
Barrichello,Zonta,3
Fisichella,De La Rosa,2
Fisichella,Badoer,2
Fisichella,Takagi,2
Zanardi,Sarrazin,1
De La Rosa,Sarrazin,1
Gene,Sarrazin,1
Takagi,Sarrazin,1
Villeneuve,Sarrazin,1
Villeneuve,De La Rosa,7
Villeneuve,Gene,3
Villeneuve,Takagi,1
Alesi,Gene,3
Alesi,Takagi,3
Alesi,De La Rosa,8
Zanardi,De La Rosa,1
Zanardi,Villeneuve,1
Zanardi,Takagi,3
Sarrazin,Takagi,1
Zanardi,Diniz,1
Sarrazin,Gene,1
Panis,Gene,3
Panis,Sarrazin,1
Panis,Villeneuve,5
Panis,De La Rosa,3
Gene,Takagi,2
Diniz,Zanardi,1
R.Schumacher,De La Rosa,2
R.Schumacher,Gene,2
Salo,Wurz,2
Zanardi,Fisichella,1
Irvine,Barrichello,1
Zanardi,Panis,1
Irvine,Takagi,2
Irvine,Zanardi,2
Hakkinen,Fisichella,3
Zanardi,Zonta,1
Gene,Badoer,1
Badoer,Gene,2
Hakkinen,Panis,3
R.Schumacher,Wurz,1
Hakkinen,M.Schumacher,3
Irvine,Zonta,5
Zonta,Zanardi,2
Gene,De La Rosa,1
Irvine,Badoer,1
Irvine,De La Rosa,2
Badoer,De La Rosa,2
M.Schumacher,Barrichello,3
R.Schumacher,Panis,6
R.Schumacher,M.Schumacher,2
Zonta,Wurz,3
Hakkinen,Takagi,2
Hakkinen,Gene,4
Zonta,Trulli,3
Hakkinen,Zanardi,1
Hakkinen,De La Rosa,2
Diniz,Villeneuve,1
Alesi,Wurz,11
Hakkinen,Wurz,2
Alesi,Zonta,3
Hakkinen,Zonta,2
Wurz,Zonta,3
Trulli,Zonta,5
Hill,Zonta,1
Herbert,Wurz,2
De La Rosa,Zanardi,1
Badoer,Zanardi,1
Panis,Wurz,4
Trulli,Wurz,3
Fisichella,Herbert,1
Hakkinen,R.Schumacher,3
Diniz,Wurz,2
Trulli,Panis,2
Wurz,Panis,1
Herbert,Zonta,2
R.Schumacher,Zanardi,1
